    1364.7246740        0.1775593        2.1418763
    1358.9705784        0.0516936        3.6286100
    1362.7556994        0.0400814        2.5319526
    1378.8032124        0.0321007        2.8606681
    1371.7939882        0.0257055        2.6004194
    1371.0197420        0.0228711        2.5655924
    1372.0478375        0.0200376        2.3330930
    1372.0217180        0.0179992        2.5349033
    1371.2027895        0.0165978        2.6357673
    1369.6076531        0.0161928        2.5684538
