    1581.1506777        0.4009605        1.9562052
    1578.0851808        0.1261272        1.5768525
    1588.7488472        0.1030786        1.5666328
    1595.6853800        0.0774585        2.1926264
    1604.8050773        0.0647444        1.7591136
    1599.3584392        0.0534437        2.0916224
    1598.1909866        0.0464961        2.3870561
    1604.6399603        0.0394429        2.3623102
    1607.0622985        0.0350907        2.3556835
    1592.5860016        0.0336716        2.3926775
