    1290.7357061        0.0011617        0.5827479
    1288.5287848        0.0009570        0.5300125
    1288.1227999        0.0009221        0.5292225
    1288.4832740        0.0008586        0.5574321
    1288.4974804        0.0008322        0.5053427
    1290.1034057        0.0007670        0.4842441
    1290.2504191        0.0007035        0.4476094
    1288.8789864        0.0006448        0.4228471
    1289.0914574        0.0005881        0.4132577
    1289.6819837        0.0005505        0.4032497
