    1289.9909191        0.0006521        0.6395101
    1290.3643513        0.0004804        0.6487971
    1301.7602613        0.0004147        0.5675295
    1292.6188366        0.0003256        0.4868650
    1294.4363437        0.0002807        0.4609146
    1293.9188869        0.0002430        0.4554709
    1288.5389025        0.0002124        0.4217344
    1294.7389562        0.0001830        0.3922083
    1299.7173314        0.0001542        0.3912643
    1295.1339378        0.0001336        0.3897564
