    1292.4229848        0.0007688        0.7031322
    1291.3931866        0.0005468        0.6374845
    1304.1687803        0.0004616        0.5686642
    1298.0654042        0.0003696        0.5692587
    1299.1616740        0.0003195        0.4630499
    1298.4283507        0.0002813        0.4520624
    1294.2254353        0.0002521        0.4007973
    1298.7811000        0.0002231        0.3831453
    1305.2868755        0.0001940        0.3817058
    1297.1305394        0.0001713        0.3706168
