    1299.2121167        0.0011433        0.6349327
    1298.4453895        0.0010123        0.5456864
    1297.9121449        0.0009829        0.5401704
    1297.5993338        0.0009211        0.5396683
    1298.0467730        0.0008844        0.5282087
    1297.8467810        0.0008382        0.5247374
    1298.0431442        0.0007752        0.4706479
    1298.7421815        0.0006961        0.4278117
    1299.3662512        0.0006315        0.4249259
    1298.2740996        0.0005914        0.4003816
