var,layer,band,train_valid_frac,mean_ms,std_ms,min_ms,max_ms,p0.1_ms,p1_ms,p50_ms,p99_ms,p99.9_ms,inc_mean_ms,inc_std_ms,norm_clip_frac,norm_std,norm_p1_p99_width,val_pers_rmse_d1_ms,val_pers_rmse_d5_ms,val_pers_rmse_d10_ms,val_pers_rmse_d15_ms,val_pers_rmse_coastal_d1_ms,val_pers_rmse_coastal_d5_ms,val_pers_rmse_coastal_d10_ms,val_pers_rmse_coastal_d15_ms
u,19,middle,1,-0.0557585,0.232285,-1.86082,2.1867,-0.85384,-0.634387,-0.0285587,0.484853,0.654705,-7.53721e-06,0.117273,0,0.0505849,-0.243738,0.117992,0.222238,0.229066,0.23355,0.0568504,0.0920557,0.0955683,0.0949022
u,20,upper,1,-0.0613186,0.24093,-1.96717,2.2037,-0.889674,-0.656864,-0.0351003,0.510942,0.690331,-7.93549e-06,0.121631,0,0.0524675,-0.254314,0.121893,0.229456,0.237189,0.242386,0.0598997,0.0979603,0.102246,0.102009
u,21,upper,1,-0.0656805,0.250402,-2.05263,2.21702,-0.923562,-0.67719,-0.0413894,0.544103,0.745405,-8.30784e-06,0.126132,0,0.0545303,-0.265962,0.125972,0.23751,0.246095,0.252198,0.0628536,0.10398,0.109045,0.109242
u,22,upper,1,-0.0686406,0.260169,-2.11168,2.22751,-0.952962,-0.695468,-0.046933,0.580617,0.800232,-8.6447e-06,0.130464,0,0.0566572,-0.277895,0.129882,0.24601,0.255502,0.262547,0.0655411,0.109622,0.115421,0.115999
u,23,upper,1,-0.0707509,0.269263,-2.15157,2.23583,-0.976834,-0.711678,-0.0513978,0.613119,0.843498,-8.94227e-06,0.134304,0,0.0586376,-0.288503,0.13334,0.254017,0.264404,0.272242,0.0678823,0.11458,0.121029,0.121914
u,24,upper,1,-0.0727593,0.277068,-2.18023,2.24248,-0.995583,-0.725977,-0.0551299,0.637614,0.876247,-9.20033e-06,0.137554,0,0.0603373,-0.296951,0.136256,0.260864,0.272011,0.280441,0.069885,0.118775,0.125771,0.126891
u,25,upper,1,-0.075174,0.283583,-2.2042,2.24785,-1.01208,-0.739319,-0.0584258,0.655018,0.898967,-9.42226e-06,0.140341,0,0.0617561,-0.303646,0.138739,0.266497,0.278219,0.287062,0.0716281,0.122308,0.129754,0.131052
u,26,upper,1,-0.0782569,0.289271,-2.22761,2.25221,-1.02538,-0.752703,-0.0618,0.666912,0.914195,-9.61729e-06,0.142914,0,0.0629949,-0.309151,0.141026,0.271343,0.283459,0.292596,0.0732439,0.125418,0.133231,0.134671
u,27,upper,1,-0.0822626,0.294925,-2.25389,2.25574,-1.03968,-0.767229,-0.0657675,0.675587,0.925299,-9.8026e-06,0.145621,0,0.0642261,-0.314204,0.143446,0.276114,0.288487,0.297875,0.0749325,0.128476,0.136611,0.13818
u,28,upper,1,-0.088008,0.302006,-2.28978,2.25835,-1.06022,-0.787264,-0.0710869,0.683819,0.937491,-1.001e-05,0.149154,0,0.0657681,-0.320359,0.146629,0.282068,0.294632,0.304321,0.0771055,0.13221,0.140687,0.142401
u,29,upper,1,-0.0947584,0.31005,-2.33234,2.25964,-1.08406,-0.810178,-0.0772948,0.692839,0.950922,-1.02203e-05,0.15328,0,0.06752,-0.327314,0.150366,0.288861,0.301587,0.311616,0.0796515,0.136461,0.145293,0.147164
v,0,bottom,1,0.000821526,0.050986,-0.837286,0.587865,-0.159147,-0.119793,0.000798207,0.118994,0.172461,-3.16441e-06,0.0280143,0,0.0148485,-0.0695414,0.0284535,0.0469099,0.0475843,0.0485447,0.0186524,0.0301443,0.0309795,0.0298825
v,1,bottom,1,0.000884242,0.0564144,-0.928918,0.568489,-0.176831,-0.13316,0.000862306,0.132044,0.189213,-3.51844e-06,0.0310047,0,0.0164294,-0.0772349,0.0314911,0.0519085,0.0526612,0.0537336,0.0204836,0.0331364,0.034042,0.032818
v,2,bottom,1,0.000962105,0.0611576,-1.00124,0.575828,-0.192192,-0.144755,0.000917904,0.143468,0.203279,-3.82254e-06,0.0336381,0,0.0178108,-0.0839385,0.0341677,0.0563028,0.0571197,0.058293,0.0220869,0.0357453,0.03671,0.0353849
v,3,bottom,1,0.00104002,0.0646587,-1.05059,0.61066,-0.203467,-0.153172,0.000950158,0.151844,0.213712,-4.03899e-06,0.0356097,0,0.0188304,-0.0888293,0.0361747,0.0595812,0.060441,0.0616901,0.0232995,0.0377053,0.0387126,0.0373184
v,4,bottom,1,0.00111713,0.0676352,-1.09039,0.639473,-0.212859,-0.160212,0.000960867,0.159003,0.223425,-4.2126e-06,0.0373221,0,0.0196972,-0.0929643,0.0379242,0.0624162,0.0633077,0.0646219,0.024372,0.0394226,0.0404657,0.0390162
v,5,bottom,1,0.0011966,0.0703409,-1.12541,0.664356,-0.221405,-0.166488,0.000928719,0.165452,0.232269,-4.35572e-06,0.0389351,0,0.0204852,-0.0966701,0.0395821,0.0650668,0.0659812,0.067354,0.0254119,0.0410672,0.0421432,0.0406466
v,6,bottom,1,0.00128417,0.0729,-1.15791,0.6851,-0.22936,-0.172334,0.000857633,0.171763,0.241003,-4.46994e-06,0.04055,0,0.0212305,-0.100211,0.041255,0.0676803,0.0686098,0.0700339,0.026482,0.0427369,0.0438458,0.0423077
v,7,bottom,1,0.00137796,0.0753582,-1.189,0.700764,-0.236957,-0.177798,0.000709538,0.178043,0.250214,-4.55135e-06,0.0422342,0,0.0219464,-0.103631,0.0430138,0.0703298,0.0712656,0.0727243,0.0276103,0.0444774,0.0456213,0.0440442
v,8,bottom,1,0.00142817,0.0776341,-1.21904,0.714713,-0.244405,-0.182764,0.000421611,0.184268,0.25975,-4.59582e-06,0.0439805,0,0.0226092,-0.10689,0.044852,0.0729698,0.0739015,0.0753621,0.0287733,0.0462589,0.0474384,0.0458165
v,9,bottom,1,0.00127801,0.0794298,-1.24818,0.739922,-0.251957,-0.186953,-0.000145273,0.189907,0.268891,-4.5906e-06,0.0456451,0,0.0231322,-0.109752,0.0466083,0.0753559,0.0762787,0.0777045,0.029885,0.0479557,0.0491607,0.0474744
v,10,middle,1,0.000691876,0.0802282,-1.27924,0.766448,-0.257788,-0.189255,-0.00117463,0.193507,0.275381,-4.48944e-06,0.0469369,0,0.0233647,-0.111471,0.047974,0.0770044,0.0779549,0.0793048,0.0308247,0.0493832,0.0505872,0.048797
v,11,middle,1,-0.000430524,0.0795237,-1.32407,0.792729,-0.259411,-0.187774,-0.00257655,0.193935,0.277945,-4.23557e-06,0.0475359,0,0.0231595,-0.111164,0.0486622,0.0774527,0.0784619,0.0796583,0.0315136,0.0504256,0.0515933,0.0496369
